FCCODE,NAME,TOWN,FTC,FVNO,FVDATE,DESCRIP,CREDIT,DEBIT,INVDATE,SHCODE
9999,CASH SALES A/C,,SI,128,02/04/2019,To Credit Sales,0.00,585.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,129,02/04/2019,To Credit Sales,0.00,360.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,130,02/04/2019,To Credit Sales,0.00,427.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,131,02/04/2019,To Credit Sales,0.00,1377.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,132,02/04/2019,To Credit Sales,0.00,127.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,133,02/04/2019,To Credit Sales,0.00,677.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,134,02/04/2019,To Credit Sales,0.00,214.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,135,02/04/2019,To Credit Sales,0.00,699.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,136,02/04/2019,To Credit Sales,0.00,830.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,137,02/04/2019,To Credit Sales,0.00,1722.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,138,02/04/2019,To Credit Sales,0.00,3284.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,139,02/04/2019,To Credit Sales,0.00,863.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,140,02/04/2019,To Credit Sales,0.00,3579.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,141,02/04/2019,To Credit Sales,0.00,526.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,142,02/04/2019,To Credit Sales,0.00,2540.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,143,02/04/2019,To Credit Sales,0.00,876.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,144,02/04/2019,To Credit Sales,0.00,119.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,145,02/04/2019,To Credit Sales,0.00,247.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,146,02/04/2019,To Credit Sales,0.00,494.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,147,02/04/2019,To Credit Sales,0.00,811.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,148,02/04/2019,To Credit Sales,0.00,1305.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,149,02/04/2019,To Credit Sales,0.00,1958.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,150,02/04/2019,To Credit Sales,0.00,962.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,151,02/04/2019,To Credit Sales,0.00,2385.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,152,02/04/2019,To Credit Sales,0.00,1423.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,153,02/04/2019,To Credit Sales,0.00,1303.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,154,02/04/2019,To Credit Sales,0.00,1182.00,02/04/2019,A005
9999,CASH SALES A/C,,SI,155,03/04/2019,To Credit Sales,0.00,1238.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,156,03/04/2019,To Credit Sales,0.00,450.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,157,03/04/2019,To Credit Sales,0.00,235.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,158,03/04/2019,To Credit Sales,0.00,851.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,159,03/04/2019,To Credit Sales,0.00,237.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,160,03/04/2019,To Credit Sales,0.00,322.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,161,03/04/2019,To Credit Sales,0.00,765.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,162,03/04/2019,To Credit Sales,0.00,476.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,163,03/04/2019,To Credit Sales,0.00,1195.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,164,03/04/2019,To Credit Sales,0.00,1743.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,165,03/04/2019,To Credit Sales,0.00,816.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,166,03/04/2019,To Credit Sales,0.00,347.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,167,03/04/2019,To Credit Sales,0.00,459.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,168,03/04/2019,To Credit Sales,0.00,200.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,169,03/04/2019,To Credit Sales,0.00,611.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,170,03/04/2019,To Credit Sales,0.00,2419.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,171,03/04/2019,To Credit Sales,0.00,133.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,172,03/04/2019,To Credit Sales,0.00,731.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,173,03/04/2019,To Credit Sales,0.00,871.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,174,03/04/2019,To Credit Sales,0.00,1036.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,175,03/04/2019,To Credit Sales,0.00,346.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,176,03/04/2019,To Credit Sales,0.00,665.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,177,03/04/2019,To Credit Sales,0.00,1208.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,178,03/04/2019,To Credit Sales,0.00,678.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,179,03/04/2019,To Credit Sales,0.00,1393.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,180,03/04/2019,To Credit Sales,0.00,2122.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,181,03/04/2019,To Credit Sales,0.00,1943.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,182,03/04/2019,To Credit Sales,0.00,744.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,183,03/04/2019,To Credit Sales,0.00,891.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,184,03/04/2019,To Credit Sales,0.00,162.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,185,03/04/2019,To Credit Sales,0.00,342.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,186,03/04/2019,To Credit Sales,0.00,546.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,187,03/04/2019,To Credit Sales,0.00,274.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,188,03/04/2019,To Credit Sales,0.00,422.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,189,03/04/2019,To Credit Sales,0.00,539.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,190,03/04/2019,To Credit Sales,0.00,812.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,191,03/04/2019,To Credit Sales,0.00,544.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,192,03/04/2019,To Credit Sales,0.00,3032.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,193,03/04/2019,To Credit Sales,0.00,1569.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,194,03/04/2019,To Credit Sales,0.00,214.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,195,03/04/2019,To Credit Sales,0.00,1402.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,196,03/04/2019,To Credit Sales,0.00,822.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,197,03/04/2019,To Credit Sales,0.00,454.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,198,03/04/2019,To Credit Sales,0.00,200.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,199,03/04/2019,To Credit Sales,0.00,2695.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,200,03/04/2019,To Credit Sales,0.00,1112.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,201,03/04/2019,To Credit Sales,0.00,2684.00,03/04/2019,A005
9999,CASH SALES A/C,,SI,202,03/04/2019,To Credit Sales,0.00,2457.00,03/04/2019,A005
